Name,Customer Location (timezone),Sign up date,Request Source,Investment Date,Investment Time,Refund Request Date,Refund Request Time
Emma Smith,US (PST),1/2/2020,phone,1/2/2021,6:00,1/2/2021,9:00
Benjamin Johnson,Europe (CET),12/2/2020,web app,2/1/2021,6:30,1/2/2021,23:00
Olivia Davis,Europe (CET),1/2/2020,web app,2/2/2021,13:00,2/2/2021,20:00
Ethan Anderson,US (PST),1/11/2011,web app,2/1/2021,13:00,2/2/2021,16:00
Sophia Wilson,US (PST),2/1/2020,phone,2/1/2021,22:00,2/2/2021,5:00
Liam Martinez,Europe (GMT),1/1/2020,web app,1/1/2021,11:00,11/1/2021,12:00
Jonathan Giles,Europe (CET),1/1/2020,phone,1/1/2021,11:00,12/1/2021,12:00
Priya Sharp,Europe (CET),10/10/2020,phone,5/5/2021,0:30,5/5/2021,21:00
Raja Ortiz,US (EST),10/10/2021,phone,01/15/2022,21:30,01/16/2022,7:00
Livia Burns,US (PST),10/10/2021,phone,01/15/2022,21:30,01/16/2022,19:00
Lacey Gates,Europe (CET),10/10/2021,web app,15/01/2022,23:36,16/01/2022,13:12
